year,Variable,Year,Value,Discount
2045-01-01,Secondary Energy|Electricity|Biomass,2045,0.9272,0.7230013003438361
2045-01-01,Secondary Energy|Electricity|Coal,2045,0.0006,0.0004678610657962701
2045-01-01,Secondary Energy|Electricity|Gas,2045,0.2432,0.18963968533608816
2045-01-01,Secondary Energy|Electricity|Hydro,2045,1.5453,1.2049761749582937
2045-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2045,21.8656,17.050104867124872
2045-01-01,Secondary Energy|Electricity|Nuclear,2045,0.2367,0.18457119045662856
2045-01-01,Secondary Energy|Electricity|Solar,2045,7.367,5.744554119535203
2045-01-01,Secondary Energy|Electricity|Wind,2045,12.8412,10.013162530171774
2050-01-01,Final Energy|Transportation|Electricity,2050,4.3822,3.2512546103267352
2050-01-01,Final Energy|Transportation|Liquids|Oil,2050,1.7772,1.3185454094912767
2050-01-01,Primary Energy|Coal,2050,0.1282,0.09511451806030931
2050-01-01,Primary Energy|Gas,2050,1.3018,0.9658352543752782
2050-01-01,Primary Energy|Oil,2050,1.9527,1.4487528815629171
2050-01-01,Secondary Energy|Electricity|Biomass,2050,0.8662,0.6426536313872069
2050-01-01,Secondary Energy|Electricity|Coal,2050,0.0003,0.0002225768753361372
2050-01-01,Secondary Energy|Electricity|Gas,2050,0.141,0.10461113140798448
2050-01-01,Secondary Energy|Electricity|Hydro,2050,1.522,1.129206680872003
2050-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2050,23.3191,17.300974712169722
2050-01-01,Secondary Energy|Electricity|Nuclear,2050,0.0791,0.058686102796961515
2050-01-01,Secondary Energy|Electricity|Solar,2050,7.6883,5.704125968822746
2050-01-01,Secondary Energy|Electricity|Wind,2050,13.9968,10.384546695682818
2055-01-01,Final Energy|Transportation|Electricity,2055,4.4894,3.169131205545182
2055-01-01,Final Energy|Transportation|Liquids|Oil,2055,1.198,0.8456852105499906
2055-01-01,Primary Energy|Coal,2055,0.0538,0.03797818391284599
2055-01-01,Primary Energy|Gas,2055,1.0895,0.7690935199450873
2055-01-01,Primary Energy|Oil,2055,1.3432,0.9481839522627273
2055-01-01,Secondary Energy|Electricity|Biomass,2055,0.8039,0.5674844246754068
2055-01-01,Secondary Energy|Electricity|Coal,2055,0.0001,7.059141991235314e-05
2055-01-01,Secondary Energy|Electricity|Gas,2055,0.0549,0.038754689531881874
2055-01-01,Secondary Energy|Electricity|Hydro,2055,1.4805,1.045105971802388
2055-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2055,23.7307,16.751838085140786
2055-01-01,Secondary Energy|Electricity|Nuclear,2055,0.002,0.0014118283982470629
2055-01-01,Secondary Energy|Electricity|Solar,2055,7.6592,5.406738033926952
2055-01-01,Secondary Energy|Electricity|Wind,2055,14.479,10.22093168910961
2060-01-01,Final Energy|Transportation|Electricity,2060,4.4956,3.0194838510609854
2060-01-01,Final Energy|Transportation|Liquids|Oil,2060,0.9319,0.6259135601040423
2060-01-01,Primary Energy|Coal,2060,0.0489,0.032843838490275425
2060-01-01,Primary Energy|Gas,2060,1.2394,0.8324469003036271
2060-01-01,Primary Energy|Oil,2060,1.2234,0.8217004500818601
2060-01-01,Secondary Energy|Electricity|Biomass,2060,0.7418,0.49823229840667305
2060-01-01,Secondary Energy|Electricity|Coal,2060,0.0001,6.716531388604382e-05
2060-01-01,Secondary Energy|Electricity|Gas,2060,0.0018,0.0012089756499487885
2060-01-01,Secondary Energy|Electricity|Hydro,2060,1.4375,0.9655013871118798
2060-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2060,23.7206,15.93201544565291
2060-01-01,Secondary Energy|Electricity|Nuclear,2060,0.0,0.0
2060-01-01,Secondary Energy|Electricity|Solar,2060,7.438,4.995756046843939
