year,Variable,Year,Value,Discount
2045-01-01,Secondary Energy|Electricity|Biomass,2045,0.7926,0.6180444679168728
2045-01-01,Secondary Energy|Electricity|Coal,2045,0.0009,0.0007017915986944051
2045-01-01,Secondary Energy|Electricity|Gas,2045,0.228,0.17778720500258266
2045-01-01,Secondary Energy|Electricity|Hydro,2045,1.5409,1.201545193809121
2045-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2045,21.7665,16.97282981442419
2045-01-01,Secondary Energy|Electricity|Nuclear,2045,0.2367,0.18457119045662856
2045-01-01,Secondary Energy|Electricity|Solar,2045,7.4242,5.789156874474448
2045-01-01,Secondary Energy|Electricity|Wind,2045,12.6894,9.894793680525316
2050-01-01,Final Energy|Transportation|Electricity,2050,4.3922,3.258673839504606
2050-01-01,Final Energy|Transportation|Liquids|Oil,2050,1.385,1.0275632411351667
2050-01-01,Primary Energy|Coal,2050,0.1843,0.13673639374816696
2050-01-01,Primary Energy|Gas,2050,0.3745,0.27785013271127795
2050-01-01,Primary Energy|Oil,2050,1.5218,1.1290582962884455
2050-01-01,Secondary Energy|Electricity|Biomass,2050,0.8153,0.6048897548718423
2050-01-01,Secondary Energy|Electricity|Coal,2050,0.0003,0.0002225768753361372
2050-01-01,Secondary Energy|Electricity|Gas,2050,0.077,0.05712806466960855
2050-01-01,Secondary Energy|Electricity|Hydro,2050,1.5196,1.1274260658693138
2050-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2050,23.9624,17.778253725182182
2050-01-01,Secondary Energy|Electricity|Nuclear,2050,0.0791,0.058686102796961515
2050-01-01,Secondary Energy|Electricity|Solar,2050,7.9147,5.872097317409751
2050-01-01,Secondary Energy|Electricity|Wind,2050,14.4161,10.69563497511096
2055-01-01,Final Energy|Transportation|Electricity,2055,4.6255,3.2652061280458944
2055-01-01,Final Energy|Transportation|Liquids|Oil,2055,0.03,0.021177425973705942
2055-01-01,Primary Energy|Coal,2055,0.0745,0.05259060783470309
2055-01-01,Primary Energy|Gas,2055,0.1587,0.11202858340090444
2055-01-01,Primary Energy|Oil,2055,0.0329,0.02322457715116418
2055-01-01,Secondary Energy|Electricity|Biomass,2055,0.8012,0.5655784563377734
2055-01-01,Secondary Energy|Electricity|Coal,2055,0.0001,7.059141991235314e-05
2055-01-01,Secondary Energy|Electricity|Gas,2055,0.0101,0.007129733411147666
2055-01-01,Secondary Energy|Electricity|Hydro,2055,1.482,1.0461648431010735
2055-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2055,25.2535,17.8268042275661
2055-01-01,Secondary Energy|Electricity|Nuclear,2055,0.002,0.0014118283982470629
2055-01-01,Secondary Energy|Electricity|Solar,2055,8.1218,5.733293942441498
2055-01-01,Secondary Energy|Electricity|Wind,2055,15.5378,10.968353643141606
2060-01-01,Final Energy|Transportation|Electricity,2060,4.6478,3.1217094587955443
2060-01-01,Final Energy|Transportation|Liquids|Oil,2060,0.0056,0.0037612575776184536
2060-01-01,Primary Energy|Coal,2060,0.0391,0.026261637729443132
2060-01-01,Primary Energy|Gas,2060,0.0772,0.051851622320025825
2060-01-01,Primary Energy|Oil,2060,0.0061,0.004097084147048673
2060-01-01,Secondary Energy|Electricity|Biomass,2060,0.7618,0.5116653611838818
2060-01-01,Secondary Energy|Electricity|Coal,2060,0.0001,6.716531388604382e-05
2060-01-01,Secondary Energy|Electricity|Gas,2060,0.0005,0.0003358265694302191
2060-01-01,Secondary Energy|Electricity|Hydro,2060,1.4415,0.9681879996673216
2060-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2060,25.5803,17.181088787991666
2060-01-01,Secondary Energy|Electricity|Nuclear,2060,0.0,0.0
2060-01-01,Secondary Energy|Electricity|Solar,2060,8.1581,5.47941347213734
2060-01-01,Secondary Energy|Electricity|Wind,2060,15.8687,10.658262164634635
2070-01-01,Final Energy|Transportation|Electricity,2070,4.6434,2.8233674785606673
2070-01-01,Final Energy|Transportation|Liquids|Oil,2070,0.0023,0.0013984892967845836
2070-01-01,Primary Energy|Coal,2070,0.0278,0.01690347932635279
2070-01-01,Primary Energy|Gas,2070,0.0072,0.0043778795377604355
2070-01-01,Primary Energy|Oil,2070,0.0025,0.0015200970617223735
2070-01-01,Secondary Energy|Electricity|Biomass,2070,0.6606,0.4016704475895199
2070-01-01,Secondary Energy|Electricity|Coal,2070,0.0001,6.080388246889494e-05
2070-01-01,Secondary Energy|Electricity|Gas,2070,0.0001,6.080388246889494e-05
2070-01-01,Secondary Energy|Electricity|Hydro,2070,1.3582,0.8258383316925311
2070-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2070,26.0617,15.846525437395991
2070-01-01,Secondary Energy|Electricity|Nuclear,2070,0.0,0.0
2070-01-01,Secondary Energy|Electricity|Solar,2070,8.3183,5.057849355410088
2070-01-01,Secondary Energy|Electricity|Wind,2070,16.2732,9.89473740192821
2080-01-01,Final Energy|Transportation|Electricity,2080,4.9814,2.742009716832356
2080-01-01,Final Energy|Transportation|Liquids|Oil,2080,0.0,0.0
2080-01-01,Primary Energy|Coal,2080,0.0242,0.013320880705693783
2080-01-01,Primary Energy|Gas,2080,0.0002,0.00011008992318755194
2080-01-01,Primary Energy|Oil,2080,0.0001,5.504496159377597e-05
2080-01-01,Secondary Energy|Electricity|Biomass,2080,0.5707,0.3141415958156794
2080-01-01,Secondary Energy|Electricity|Coal,2080,0.0002,0.00011008992318755194
2080-01-01,Secondary Energy|Electricity|Gas,2080,0.0001,5.504496159377597e-05
2080-01-01,Secondary Energy|Electricity|Hydro,2080,1.2835,0.7065020820561145
2080-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2080,26.7302,14.713628323939503
2080-01-01,Secondary Energy|Electricity|Nuclear,2080,0.0,0.0
2080-01-01,Secondary Energy|Electricity|Solar,2080,8.5882,4.727371391596668
2080-01-01,Secondary Energy|Electricity|Wind,2080,16.7465,9.218104493301693
2090-01-01,Final Energy|Transportation|Electricity,2090,4.8137,2.3987382248506215
2090-01-01,Final Energy|Transportation|Liquids|Oil,2090,0.0,0.0
2090-01-01,Primary Energy|Coal,2090,0.0219,0.010913095357880343
2090-01-01,Primary Energy|Gas,2090,0.0004,0.00019932594260968665
2090-01-01,Primary Energy|Oil,2090,0.0001,4.9831485652421664e-05
2090-01-01,Secondary Energy|Electricity|Biomass,2090,0.4815,0.2399386034164103
2090-01-01,Secondary Energy|Electricity|Coal,2090,0.0002,9.966297130484333e-05
2090-01-01,Secondary Energy|Electricity|Gas,2090,0.0001,4.9831485652421664e-05
2090-01-01,Secondary Energy|Electricity|Hydro,2090,1.2423,0.6190565462600343
2090-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2090,26.7813,13.345519667032002
2090-01-01,Secondary Energy|Electricity|Nuclear,2090,0.0,0.0
2090-01-01,Secondary Energy|Electricity|Solar,2090,8.7702,4.370320954688685
2090-01-01,Secondary Energy|Electricity|Wind,2090,16.6669,8.305363882203466
2100-01-01,Final Energy|Transportation|Electricity,2100,5.0041,2.2574392782550534
2100-01-01,Final Energy|Transportation|Liquids|Oil,2100,0.0,0.0
2100-01-01,Primary Energy|Coal,2100,0.0166,0.007488557786421911
2100-01-01,Primary Energy|Gas,2100,0.0003,0.00013533538168232368
2100-01-01,Primary Energy|Oil,2100,0.0001,4.51117938941079e-05
2100-01-01,Secondary Energy|Electricity|Biomass,2100,0.4648,0.2096796180198135
2100-01-01,Secondary Energy|Electricity|Coal,2100,0.0001,4.51117938941079e-05
2100-01-01,Secondary Energy|Electricity|Gas,2100,0.0001,4.51117938941079e-05
2100-01-01,Secondary Energy|Electricity|Hydro,2100,1.2469,0.5624989580656313
2100-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2100,26.3918,11.905814420945168
2100-01-01,Secondary Energy|Electricity|Nuclear,2100,0.0,0.0
2100-01-01,Secondary Energy|Electricity|Solar,2100,9.0696,4.091459259020009
2100-01-01,Secondary Energy|Electricity|Wind,2100,15.9633,7.201330994698126
