year,Variable,Year,Value,Discount
2045-01-01,Secondary Energy|Electricity|Biomass,2045,0.5331,0.41569455695998603
2045-01-01,Secondary Energy|Electricity|Coal,2045,0.3313,0.25833728516384047
2045-01-01,Secondary Energy|Electricity|Gas,2045,2.1526,1.6785295503884186
2045-01-01,Secondary Energy|Electricity|Hydro,2045,1.5268,1.1905504587629088
2045-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2045,13.7629,10.731875104079144
2045-01-01,Secondary Energy|Electricity|Nuclear,2045,0.2367,0.18457119045662856
2045-01-01,Secondary Energy|Electricity|Solar,2045,4.4215,3.447746170697014
2045-01-01,Secondary Energy|Electricity|Wind,2045,7.7026,6.0062444090039175
2050-01-01,Final Energy|Transportation|Electricity,2050,3.4173,2.535373186953939
2050-01-01,Final Energy|Transportation|Liquids|Oil,2050,7.1696,5.3192905513665645
2050-01-01,Primary Energy|Coal,2050,1.8723,1.3891022789728324
2050-01-01,Primary Energy|Gas,2050,13.1815,9.779656940810975
2050-01-01,Primary Energy|Oil,2050,11.7822,8.741484201951453
2050-01-01,Secondary Energy|Electricity|Biomass,2050,0.4706,0.34914892511062057
2050-01-01,Secondary Energy|Electricity|Coal,2050,0.0955,0.07085363864867035
2050-01-01,Secondary Energy|Electricity|Gas,2050,2.0108,1.4918586030863492
2050-01-01,Secondary Energy|Electricity|Hydro,2050,1.4853,1.1019781097892154
2050-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2050,15.067,11.178552602298598
2050-01-01,Secondary Energy|Electricity|Nuclear,2050,0.0791,0.058686102796961515
2050-01-01,Secondary Energy|Electricity|Solar,2050,4.6699,3.4647058337740906
2050-01-01,Secondary Energy|Electricity|Wind,2050,8.7997,6.528699099651355
2055-01-01,Final Energy|Transportation|Electricity,2055,3.7725,2.663061316193522
2055-01-01,Final Energy|Transportation|Liquids|Oil,2055,6.4825,4.5760887958182925
2055-01-01,Primary Energy|Coal,2055,1.7068,1.2048543550640434
2055-01-01,Primary Energy|Gas,2055,12.4732,8.805008988507632
2055-01-01,Primary Energy|Oil,2055,10.2982,7.269645605413951
2055-01-01,Secondary Energy|Electricity|Biomass,2055,0.4356,0.3074962251382103
2055-01-01,Secondary Energy|Electricity|Coal,2055,0.0005,0.0003529570995617657
2055-01-01,Secondary Energy|Electricity|Gas,2055,1.839,1.2981762121881741
2055-01-01,Secondary Energy|Electricity|Hydro,2055,1.4389,1.0157399411188495
2055-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2055,16.1137,11.374889630416849
2055-01-01,Secondary Energy|Electricity|Nuclear,2055,0.002,0.0014118283982470629
2055-01-01,Secondary Energy|Electricity|Solar,2055,4.8272,3.407589022009111
2055-01-01,Secondary Energy|Electricity|Wind,2055,9.7357,6.872568868406964
2060-01-01,Final Energy|Transportation|Electricity,2060,3.8858,2.6099097669838907
2060-01-01,Final Energy|Transportation|Liquids|Oil,2060,6.468,4.344252502149314
2060-01-01,Primary Energy|Coal,2060,1.7595,1.181773697824941
2060-01-01,Primary Energy|Gas,2060,12.0072,8.064673568925052
2060-01-01,Primary Energy|Oil,2060,9.3309,6.267128273392862
2060-01-01,Secondary Energy|Electricity|Biomass,2060,0.4244,0.28504959213236997
2060-01-01,Secondary Energy|Electricity|Coal,2060,0.0001,6.716531388604382e-05
2060-01-01,Secondary Energy|Electricity|Gas,2060,1.6842,1.13119821646875
2060-01-01,Secondary Energy|Electricity|Hydro,2060,1.3921,0.9350083346076159
2060-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2060,16.7665,11.261272352703536
2060-01-01,Secondary Energy|Electricity|Nuclear,2060,0.0,0.0
2060-01-01,Secondary Energy|Electricity|Solar,2060,4.9453,3.3215262676065245
2060-01-01,Secondary Energy|Electricity|Wind,2060,10.3171,6.929512598937026
2070-01-01,Final Energy|Transportation|Electricity,2070,3.9451,2.3987739672803743
2070-01-01,Final Energy|Transportation|Liquids|Oil,2070,5.1852,3.1528029137771405
2070-01-01,Primary Energy|Coal,2070,1.8725,1.1385526992300576
2070-01-01,Primary Energy|Gas,2070,10.913,6.635527693830505
2070-01-01,Primary Energy|Oil,2070,6.565,3.991774884082953
2070-01-01,Secondary Energy|Electricity|Biomass,2070,0.4711,0.28644709031096405
2070-01-01,Secondary Energy|Electricity|Coal,2070,0.0001,6.080388246889494e-05
2070-01-01,Secondary Energy|Electricity|Gas,2070,1.3241,0.8051042077706378
2070-01-01,Secondary Energy|Electricity|Hydro,2070,1.2969,0.7885655517390984
2070-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2070,17.9114,10.890826604533649
2070-01-01,Secondary Energy|Electricity|Nuclear,2070,0.0,0.0
2070-01-01,Secondary Energy|Electricity|Solar,2070,5.4255,3.298914643349895
2070-01-01,Secondary Energy|Electricity|Wind,2070,11.0769,6.735185257197023
2080-01-01,Final Energy|Transportation|Electricity,2080,4.3918,2.417464623275453
2080-01-01,Final Energy|Transportation|Liquids|Oil,2080,3.1281,1.721861443614906
2080-01-01,Primary Energy|Coal,2080,1.6988,0.9351038075550662
2080-01-01,Primary Energy|Gas,2080,9.7569,5.3706818577431275
2080-01-01,Primary Energy|Oil,2080,3.5284,1.9422064248747912
2080-01-01,Secondary Energy|Electricity|Biomass,2080,0.6253,0.34419614484588107
2080-01-01,Secondary Energy|Electricity|Coal,2080,0.0001,5.504496159377597e-05
2080-01-01,Secondary Energy|Electricity|Gas,2080,0.8749,0.4815883689839459
2080-01-01,Secondary Energy|Electricity|Hydro,2080,1.2152,0.6689063732875655
2080-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2080,19.0801,10.50263371705405
2080-01-01,Secondary Energy|Electricity|Nuclear,2080,0.0,0.0
2080-01-01,Secondary Energy|Electricity|Solar,2080,6.2642,3.448126484157314
2080-01-01,Secondary Energy|Electricity|Wind,2080,11.4887,6.32395050262414
2090-01-01,Final Energy|Transportation|Electricity,2090,4.3153,2.1503781003589517
2090-01-01,Final Energy|Transportation|Liquids|Oil,2090,1.6045,0.7995461872931056
2090-01-01,Primary Energy|Coal,2090,1.4939,0.7444325641615271
2090-01-01,Primary Energy|Gas,2090,8.0367,4.004807007428171
2090-01-01,Primary Energy|Oil,2090,2.2077,1.100129708748513
2090-01-01,Secondary Energy|Electricity|Biomass,2090,0.6745,0.3361133707255841
2090-01-01,Secondary Energy|Electricity|Coal,2090,0.0001,4.9831485652421664e-05
2090-01-01,Secondary Energy|Electricity|Gas,2090,0.5479,0.2730267098896183
2090-01-01,Secondary Energy|Electricity|Hydro,2090,1.1815,0.5887590029833619
2090-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2090,19.4115,9.673038837419831
2090-01-01,Secondary Energy|Electricity|Nuclear,2090,0.0,0.0
2090-01-01,Secondary Energy|Electricity|Solar,2090,6.4506,3.2144298134951117
