,ptf,name,ticker,isin,lei_legalentityidentifier_,country,countryisocode,region,operatingrevenue_thusd_,marketcapitalisation_musd_,nace_mainsection,nace4_orbis,cprs2_orbis,nace4_eikon,capac_dir,capac_indir,foss_indir_sh,ren_sw_indir_sh,ren_all_indir_sh,nuc_indir_sh,exposuretonewenergy
17,,Nordex SE,NDX1 GR,DE000A0D6554,529900HVDYCUWVD0OE76,Germany,DE,EU,3711695.1422,1459.713,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,28.11,7.0,43.7,0.0,1.0,1.0,0.0,A1
18,,PLT energia SpA,PLTE IM,IT0005024960,815600B6DCDBDC24EC53,Italy,IT,EU,77973.3943,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.12,2-utility|electricity|transmission,35.11,190.675,190.675,0.0,1.0,1.0,0.0,A1
19,,EDP Renovaveis SA,EDPR PL,ES0127797019,529900MUFAH07Q1TAX06,Spain,ES,EU,2145620.6996,10289.484,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,3015.5973000000004,13674.86952147651,0.0,0.9998171828991804,1.0,0.0,A1
20,,Enel Green Power SpA,EGPW IM,IT0004618465,549300VLR4TEG8VILM36,Italy,IT,EU,3223640.5131,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.12,2-utility|electricity|transmission,35.11,3505.362,18294.008,0.000765277898643,0.8709827829964871,0.9992347221013568,0.0,A1
23,,Velcan Holdings SA,ALVEL FP,FR0010245803,222100SOZQEBWOVHDQ35,France,LU,EU,3207.3066,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,0.0,44.68,0.0,0.0,1.0,0.0,A1
24,,Voltalia SA,VLTSA FP,FR0011995588,969500KE938Z79ZH1N44,France,FR,EU,197122.9723,1396.8073,F - Construction,43.21,9-other,35.11,283.75,767.3599999999999,0.0,0.9984361968306924,1.0,0.0,A1
26,,EDP - Energias de Portugal SA,EDP PL,PTEDP0AM0009,529900CLC3WDMGI9VH80,Portugal,PT,EU,16878964.845,15872.3615,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,,12301.159866666669,30052.43938814318,0.2377650581942156,0.4735152290862251,0.7622349418057844,0.0,A3
27,,Verbund AG,VER AV,AT0000746409,5299006UDSEJCTTEJS30,Austria,AT,EU,4412606.779,17461.429,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.14,1656.4656973309002,8737.045697330901,0.3067970676654319,0.0188540501031399,0.6932029323345681,0.0,A3
28,,ERG SpA,ERG IM,IT0001157020,8156004604684CA44A90,Italy,IT,EU,1173266.4498,3245.671,C - Manufacturing,19.2,1-fossil|oil,35.11,136.5,2076.57,0.3325050443760624,0.6661947345863611,0.6674949556239376,0.0,A4
29,,Enel SpA,ENEL IM,IT0003128367,WOCMU6HCI0OJWNPRZS33,Italy,IT,EU,89874235.0962,80771.0574,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,35655.8556,94773.46560574711,0.5064033362678195,0.2458818054651809,0.4935966637321805,0.0,A3
30,,Iberdrola SA,IBE SM,ES0144580Y14,5QK37QC7NWOJ8D7WVQ45,Spain,ES,EU,41674186.9454,65610.8461,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,42.22,16199.111100000002,58776.10032717949,0.3201792418218275,0.4465105755756231,0.6554230864711761,0.0,A3
32,,Endesa SA,ELE SM,ES0130670112,549300LHK07F2CHV4X31,Spain,ES,EU,22645494.251,28295.874,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,10322.120833333334,32981.25600574713,0.6203882341184442,0.1298478394087563,0.3796117658815557,0.0,A3
35,,Mainova AG,MNV6 GR,DE0006553464,529900V3S3C2QZPTD593,Germany,DE,EU,2586493.3552,32.0516,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.14,539.175,539.175,0.8518106366207632,0.1251912644317707,0.1481893633792368,0.0,A3
36,,MVV Energie AG,MVV1 GR,DE000A0H52F5,529900ISR2VNZV1C0T93,Germany,DE,EU,4058954.1281,1865.9136,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.13,175.40499999999997,1223.6582,0.1912298712173056,0.7248143313222597,0.8087701287826944,0.0,A3
38,,Direct Energie,DIREN FP,FR0004191674,969500AZY2G5SSJC5G90,France,FR,EU,2409759.8296,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,968.635,2956.875,0.7063538363982246,0.2639053054322554,0.2936461636017755,0.0,A3
40,,ACEA SpA,ACE IM,IT0001207098,549300Q3448N041CTH56,Italy,IT,EU,3579415.9329,4411.6731,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.14,29.0,413.0,0.9685230024213076,0.0072639225181598,0.0314769975786924,0.0,A4
41,,Areva SA,ARVCF US,FR0011027143,9695007B0RXQCHHTGR34,France,FR,EU,8162946.991,n.a.,B - Mining and quarrying,7.21,9-other,35.11,8.0,34.25,0.0,1.0,1.0,0.0,A4
42,,E.ON SE,EOAN GR,DE000ENAG999,Q9MAIUP40P25UFBFG033,Germany,DE,EU,47834365.7708,28310.6016,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.14,1510.34,15748.218242072471,0.4372370825801966,0.4291378324957157,0.5627629174198034,0.0,A4
43,,Elecnor SA,ENO SM,ES0129743318,95980020140005491250,Spain,ES,EU,2772799.1103,1070.2069,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,42.22,181.424,1047.0702499999998,0.0,1.0,1.0,0.0,A4
