,BE0974275076,DE000A11QW68,DE000A1EWXA4,FR0000060402,IT0004720733,ES0136463017,DE0006095003,LU0538936351,DE0005313506,DE000A12UL56,DE000A0JBPG2,ES0105058004,IE00BH3XCL94,IT0003198790,FR0011284991,FR0011289198,IE00BF2NR112,DE000A0D6554,IT0005024960,ES0127797019,IT0004618465,DE000A1YCMM2,GRS496003005,FR0010245803,FR0011995588,PTMFR0AM0003,PTEDP0AM0009,AT0000746409,IT0001157020,IT0003128367,ES0144580Y14,IT0001250932,ES0130670112,DE000A2AADD2,IT0003027817,DE0006553464,DE000A0H52F5,PTSNP0AE0008,FR0004191674,IT0001233417,IT0001207098,FR0011027143,DE000ENAG999,ES0129743318,FR0010242511,FR0000031023,BE0003822393,DE0005220008,FI0009007132,FR0010208488,DE0007037129,GRS434003000,ES0173093024,AT0000741053,DE000UNSE018,AT0000824503
count,2608.0,1348.0,2276.0,2608.0,2608.0,2608.0,2608.0,2421.0,1544.0,1126.0,2608.0,1293.0,2608.0,2608.0,2608.0,2608.0,657.0,2608.0,1476.0,2608.0,2411.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,0.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,2608.0,883.0,2608.0
mean,0.008074955715499892,0.0008329316275755866,0.00027924141831409734,0.0001882711737150252,4.167861837318012e-05,0.0006473801166169075,0.0008281252935444341,0.10759160338976394,0.0011849383601768783,0.00027074082755197844,0.0005307753749338467,0.0001905063074258491,-0.0010149228325380584,0.0005611221987533234,-0.0001245001590862514,-0.00041978543508837325,0.00025469201647248445,0.0005250107661989463,0.0001366047072130123,0.0003590980446145514,0.00015263669887900845,0.0012535454407152271,0.0006168189911255209,0.00010603805441538603,7.010365444329187e-05,-0.00032760756315965205,0.00027814942451572996,0.0003170815200135889,0.00043675347840850624,0.000409549596121867,0.0004201165665494738,0.00045883167731811564,0.00038912162956323995,,0.00048474250040706515,0.0004402746274519899,5.676332897944899e-05,0.0004168510879076075,0.0008123905310424475,0.00028297885188593357,0.0005377133045698612,-0.0005232237411367943,-0.0001653792040162805,6.193780543728532e-05,-0.0002800037962396905,8.289879829068932e-05,0.0004968305390919462,0.00023814550444249094,0.00017941416059259548,-9.290448520306471e-05,-4.7115391211419825e-05,0.00026569050639544843,0.00035204834768425225,0.0001968820732825155,0.0012981035094346365,0.00022640622556108615
std,0.4525563233159594,0.014600399879823452,0.006334261226367584,0.016051770170638732,0.01917733074680202,0.034995866470708493,0.018600478731150925,2.1608031736096702,0.019789711011797325,0.011182722678782942,0.022580242739303192,0.008739273595365778,0.06761132405899578,0.023313871631013613,0.02710962024191401,0.05177199497458833,0.00996498537247912,0.030063123084561574,0.015135783848548467,0.015427594718376405,0.012942419556540127,0.10557424921551742,0.027085419693016574,0.020036276579411684,0.027290040505908986,0.031712657893256196,0.014617740995481536,0.016465221717559278,0.01602345419077678,0.01615291485414099,0.014375364361589366,0.014273959405855874,0.013965974471126286,,0.019026197982262665,0.024880726323810182,0.013439345794046563,0.028517949433028645,0.030321248856410347,0.018696057532197413,0.017259046628576587,0.021985125903095874,0.017315868284709275,0.015749029665502845,0.018565223212905043,0.01181774768174928,0.00983617519354071,0.01767584227470159,0.014854647615473227,0.015218229298416168,0.020349500079990507,0.03725599940743268,0.013488823275024351,0.012034190865857391,0.013799831248303668,0.013960112665938194
min,-0.9598393574297188,-0.0632183908778648,-0.0633074935400517,-0.0983922829581994,-0.078880407124682,-0.3020833333333333,-0.1967871484866943,-0.959731543624161,-0.0860714285714285,-0.0692510350018817,-0.1381830838844413,-0.0561728395061728,-0.6071428571428572,-0.1839132060189854,-0.2380952380952381,-0.5555555555766609,-0.0452674897119342,-0.1901175052726725,-0.0887999999999999,-0.0688128772635814,-0.0738916256157635,-0.8372533117058665,-0.2000000002079476,-0.1291727140783743,-0.1777777777443622,-0.1578947368421052,-0.1067796610169491,-0.1155378486055778,-0.0989103101424978,-0.1004497751124436,-0.1020000000526424,-0.0857392825896761,-0.0914163090441126,,-0.1445466491458606,-0.1154791154791154,-0.0891634980988593,-0.1379310344827585,-0.1588628762541806,-0.0965058236272877,-0.0900537634408602,-0.1967213114754098,-0.115140525838622,-0.1140096618357487,-0.1268183846497099,-0.0659003831417625,-0.057391304358963,-0.1105042016806722,-0.1322254335260115,-0.1133990719257541,-0.1306230454654798,-0.4099216710182768,-0.0753738543174143,-0.0842824601366742,-0.0853333333333332,-0.1666666666666666
25%,-0.0040526974095652256,-0.0057371581360613245,0.0,-0.007948088610781424,-0.009673285925130776,-0.015640318627450973,-0.006022017680098625,-0.0018975332068311,-0.008281475709361075,0.0,-0.009808736909840726,-0.0016313213703099,0.0,-0.0113285634118967,-0.0087719298245614,-0.0132216733854095,-0.0046296296296297,-0.014988125118299726,-0.005506373876593425,-0.007191476912498325,-0.0017906099580213,-0.019133064187924126,-0.011374438225325426,-0.009661835748792225,-0.009748965910711725,-0.0157126889817047,-0.006830718341745775,-0.0082245672113554,-0.00778669241400945,-0.00787209160252045,-0.0063474658848342,-0.007064351450468825,-0.0068948849178859,,-0.0090763558746483,-0.0029239766081871,-0.0058024579582824,-0.010322632338016075,-0.0071269605765155,-0.009385251333708749,-0.008319181669532001,-0.008204641095812,-0.008545732174838625,-0.00824743438379805,-0.0093494687824347,-0.0055295159740571505,-0.004469561909738426,-0.0067567567567567,-0.007176132582875975,-0.00771578785509335,-0.00938096822127005,-0.018694835680751122,-0.0067871265737077,-0.005847953216374225,-0.006038558332704599,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028998115732125,0.0,0.0,0.0,0.0002099489833745,0.0,0.00045072019470425,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003489183531053,0.0
75%,0.0,0.0074696740886212,0.0006712536227639,0.007565055087334949,0.00761748477929985,0.0126582278481013,0.007052456399698875,0.0,0.009660734149054575,0.0,0.010335925622550176,0.0017565872020075,0.0,0.010762357855650925,0.006364468944490575,0.00689137226628205,0.0047169811320753,0.0147212335271251,0.005512357587923925,0.007881796396003775,0.0024206921201894,0.00973112284546315,0.01113184078541505,0.008112331081080974,0.0084678504145687,0.0113960113960114,0.00852091186646345,0.008682335708102874,0.0086781744176514,0.0095330741628225,0.007066853960405775,0.008129717484890425,0.007941756173523475,,0.0101898830280752,0.0029154518950438,0.0059202756104563495,0.00883733797671245,0.006650055370985525,0.0099030030439326,0.009353095794392526,0.004898102997757324,0.008287641178839449,0.008088698110072876,0.0091359122689861,0.005717753120665726,0.0053290702034108,0.007204893979553275,0.0083805769506242,0.007971333975158625,0.0096211573553099,0.018378549077225824,0.0071330818690028995,0.005987147434515975,0.008485673594863252,0.0
max,23.0,0.078723403873625,0.0682758620689654,0.1248407643312101,0.219056974459725,0.3302752293577979,0.2449999998330883,79.0,0.351578947368421,0.1509734296559324,0.1825572801182557,0.0901960784313724,0.8133333333333335,0.1917808219178083,0.4910714285714288,0.666666666729983,0.0431034482758621,0.1899270072992702,0.0938416422287391,0.1010052656773576,0.0931005818786365,1.7906976744186047,0.2250000002057814,0.1383928571428572,0.3278688525522146,0.298342541436464,0.0932475884244372,0.0964155645006707,0.1047448522829006,0.0796897038081805,0.1430531059421682,0.0677631578947368,0.0705314009240332,,0.1137678364828385,0.1499616679444018,0.1062408682947193,0.1764705882352941,0.745049504950495,0.09936766034327,0.1859723698193414,0.3123359580052494,0.0840236686390532,0.1009345794392524,0.1057052135614053,0.059915611814346,0.078187650360866,0.1725714285714286,0.0678571428571428,0.0824388149420352,0.1657483930211203,0.2427007299270072,0.0715363718683972,0.0790655884995508,0.0619694397283532,0.1999999999999999
